rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,interval,data1,data2,data3,data4
1569255195404014677,,151416,,1569255195,403038978,"""force_sensor_frame""","""0""",0.0,9.0,649.0,6.0,653.0
1569255195404852081,,151417,,1569255195,404057979,"""force_sensor_frame""","""0""",0.0,5.0,648.0,4.0,654.0
1569255195437253493,,151418,,1569255195,436328887,"""force_sensor_frame""","""0""",0.0,11.0,653.0,1.0,663.0
1569255195470282018,,151419,,1569255195,469355106,"""force_sensor_frame""","""0""",0.0,17.0,652.0,6.0,662.0
1569255195473562262,,151420,,1569255195,470707893,"""force_sensor_frame""","""0""",0.0,9.0,651.0,5.0,661.0
1569255195503452476,,151421,,1569255195,502593040,"""force_sensor_frame""","""0""",0.0,9.0,649.0,4.0,658.0
1569255195504085921,,151422,,1569255195,503570079,"""force_sensor_frame""","""0""",0.0,13.0,651.0,7.0,657.0
1569255195536485497,,151423,,1569255195,535864114,"""force_sensor_frame""","""0""",0.0,3.0,645.0,1.0,653.0
1569255195537578434,,151424,,1569255195,536874055,"""force_sensor_frame""","""0""",0.0,5.0,646.0,3.0,654.0
1569255195576231162,,151425,,1569255195,569452047,"""force_sensor_frame""","""0""",0.0,26.0,673.0,14.0,696.0
1569255195576661803,,151426,,1569255195,575311899,"""force_sensor_frame""","""0""",0.0,-14.0,639.0,9.0,636.0
1569255195604688037,,151427,,1569255195,602427005,"""force_sensor_frame""","""0""",0.0,10.0,648.0,7.0,655.0
1569255195604715269,,151428,,1569255195,603667020,"""force_sensor_frame""","""0""",0.0,40.0,645.0,13.0,673.0
1569255195636688689,,151429,,1569255195,635838031,"""force_sensor_frame""","""0""",0.0,0.0,645.0,-6.0,657.0
1569255195638624730,,151430,,1569255195,636856079,"""force_sensor_frame""","""0""",0.0,19.0,655.0,15.0,701.0
1569255195669888696,,151431,,1569255195,669329881,"""force_sensor_frame""","""0""",0.0,12.0,655.0,6.0,676.0
1569255195670946358,,151432,,1569255195,670303106,"""force_sensor_frame""","""0""",0.0,-1.0,650.0,0.0,667.0
1569255195703303139,,151433,,1569255195,702429056,"""force_sensor_frame""","""0""",0.0,12.0,650.0,20.0,666.0
1569255195736278877,,151434,,1569255195,735481023,"""force_sensor_frame""","""0""",0.0,14.0,646.0,2.0,651.0
1569255195737170300,,151435,,1569255195,736550092,"""force_sensor_frame""","""0""",0.0,2.0,641.0,-3.0,660.0
1569255195769617247,,151436,,1569255195,768759012,"""force_sensor_frame""","""0""",0.0,23.0,648.0,6.0,660.0
1569255195773799257,,151437,,1569255195,769825935,"""force_sensor_frame""","""0""",0.0,10.0,644.0,-2.0,657.0
1569255195803069376,,151438,,1569255195,802181959,"""force_sensor_frame""","""0""",0.0,4.0,647.0,2.0,669.0
1569255195803775734,,151439,,1569255195,803232908,"""force_sensor_frame""","""0""",0.0,17.0,649.0,11.0,660.0
1569255195836285664,,151440,,1569255195,835532903,"""force_sensor_frame""","""0""",0.0,6.0,647.0,3.0,664.0
1569255195837338862,,151441,,1569255195,836440086,"""force_sensor_frame""","""0""",0.0,5.0,648.0,3.0,669.0
1569255195870017316,,151442,,1569255195,868706941,"""force_sensor_frame""","""0""",0.0,19.0,652.0,10.0,663.0
1569255195870277940,,151443,,1569255195,869558095,"""force_sensor_frame""","""0""",0.0,6.0,647.0,1.0,664.0
1569255195902943692,,151444,,1569255195,901951074,"""force_sensor_frame""","""0""",0.0,7.0,646.0,3.0,662.0
1569255195903978056,,151445,,1569255195,903095006,"""force_sensor_frame""","""0""",0.0,19.0,651.0,10.0,662.0
1569255195935809407,,151446,,1569255195,935236930,"""force_sensor_frame""","""0""",0.0,5.0,644.0,1.0,661.0
1569255195936580889,,151447,,1569255195,936172962,"""force_sensor_frame""","""0""",0.0,11.0,647.0,3.0,661.0
1569255195969089141,,151448,,1569255195,968498945,"""force_sensor_frame""","""0""",0.0,16.0,648.0,8.0,661.0
1569255195970001757,,151449,,1569255195,969511985,"""force_sensor_frame""","""0""",0.0,5.0,646.0,-1.0,663.0
1569255196008482776,,151450,,1569255196,1827955,"""force_sensor_frame""","""0""",0.0,12.0,648.0,6.0,663.0
1569255196011256429,,151451,,1569255196,7750988,"""force_sensor_frame""","""0""",0.0,14.0,650.0,8.0,663.0
1569255196036010687,,151452,,1569255196,35170078,"""force_sensor_frame""","""0""",0.0,5.0,647.0,1.0,666.0
1569255196068850435,,151453,,1569255196,68209886,"""force_sensor_frame""","""0""",0.0,12.0,649.0,6.0,664.0
1569255196069775364,,151454,,1569255196,69214105,"""force_sensor_frame""","""0""",0.0,6.0,651.0,0.0,669.0
1569255196102195508,,151455,,1569255196,101459980,"""force_sensor_frame""","""0""",0.0,1.0,650.0,0.0,672.0
1569255196103086937,,151456,,1569255196,102509021,"""force_sensor_frame""","""0""",0.0,5.0,648.0,6.0,666.0
1569255196135321130,,151457,,1569255196,134737968,"""force_sensor_frame""","""0""",0.0,13.0,652.0,8.0,668.0
1569255196136253951,,151458,,1569255196,135739088,"""force_sensor_frame""","""0""",0.0,7.0,648.0,3.0,666.0
1569255196168859257,,151459,,1569255196,168179988,"""force_sensor_frame""","""0""",0.0,10.0,649.0,4.0,664.0
1569255196169679967,,151460,,1569255196,169207096,"""force_sensor_frame""","""0""",0.0,12.0,648.0,7.0,663.0
1569255196201819784,,151461,,1569255196,201256990,"""force_sensor_frame""","""0""",0.0,5.0,644.0,3.0,662.0
1569255196212061177,,151462,,1569255196,202163934,"""force_sensor_frame""","""0""",0.0,11.0,650.0,4.0,663.0
