rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,interval,data1,data2,data3,data4
1569261684390920576,,132711,,1569261684,390470027,"""force_sensor_frame""","""0""",0.0,-9.0,40.0,21.0,37.0
1569261684400232192,,132712,,1569261684,399960994,"""force_sensor_frame""","""0""",0.0,-27.0,153.0,129.0,127.0
1569261684410289163,,132713,,1569261684,409969091,"""force_sensor_frame""","""0""",0.0,-18.0,278.0,293.0,259.0
1569261684420281293,,132714,,1569261684,419951915,"""force_sensor_frame""","""0""",0.0,-35.0,73.0,96.0,86.0
1569261684430256411,,132715,,1569261684,429902076,"""force_sensor_frame""","""0""",0.0,-50.0,104.0,61.0,114.0
1569261684440295369,,132716,,1569261684,439908027,"""force_sensor_frame""","""0""",0.0,22.0,101.0,100.0,143.0
1569261684450264205,,132717,,1569261684,449882984,"""force_sensor_frame""","""0""",0.0,6.0,94.0,86.0,71.0
1569261684460389865,,132718,,1569261684,459887981,"""force_sensor_frame""","""0""",0.0,10.0,108.0,59.0,129.0
1569261684470245069,,132719,,1569261684,469877004,"""force_sensor_frame""","""0""",0.0,-32.0,64.0,19.0,31.0
1569261684480350030,,132720,,1569261684,479887008,"""force_sensor_frame""","""0""",0.0,10.0,63.0,27.0,55.0
1569261684490337871,,132721,,1569261684,489878892,"""force_sensor_frame""","""0""",0.0,-5.0,65.0,50.0,60.0
1569261684500273456,,132722,,1569261684,499876976,"""force_sensor_frame""","""0""",0.0,-9.0,64.0,35.0,45.0
1569261684510173563,,132723,,1569261684,509848117,"""force_sensor_frame""","""0""",0.0,6.0,79.0,41.0,77.0
1569261684522111466,,132724,,1569261684,519855022,"""force_sensor_frame""","""0""",0.0,-11.0,66.0,43.0,62.0
1569261684530209450,,132725,,1569261684,529829978,"""force_sensor_frame""","""0""",0.0,0.0,66.0,35.0,79.0
1569261684540198294,,132726,,1569261684,539853096,"""force_sensor_frame""","""0""",0.0,-6.0,57.0,38.0,31.0
1569261684550240587,,132727,,1569261684,549849987,"""force_sensor_frame""","""0""",0.0,-6.0,64.0,37.0,60.0
1569261684560149291,,132728,,1569261684,559830904,"""force_sensor_frame""","""0""",0.0,-11.0,61.0,51.0,68.0
1569261684570135550,,132729,,1569261684,569819927,"""force_sensor_frame""","""0""",0.0,-10.0,71.0,33.0,76.0
